Movie,vote_average,revenue,,,,,,,,,,,
Toy Story,7.7,373554033,,,,vote_average,revenue,,,,,,
Eight Below,6.7,120455994,,,,,,,,,,,
Date Movie,3.6,48548426,,,,,,,,,,,
Madea's Family Reunion,6,57231524,,,,,,,,,,,
Ultraviolet,4.8,31070211,,,,,,,,,,,
Just My Luck,5.8,38159905,,,,,,,,,,,
16 Blocks,6.2,65664721,,,,,,,,,,,
Failure to Launch,5.5,128406887,,,,,,,,,,,
Ultimate Avengers,6.5,6700000,,,,,,,,,,,
Ice Age: The Meltdown,6.5,660940780,,,,,,,,,,,
V for Vendetta,7.7,132511035,,,,,,,,,,,
She's the Man,6.4,33889159,,,,,,,,,,,
Thank You for Smoking,7.1,24793509,,,,,,,,,,,
Find Me Guilty,6.5,2636637,,,,,,,,,,,
Inside Man,7.3,184376254,,,,,,,,,,,
Tsotsi,6.9,9879971,,,,,,,,,,,
Aquamarine,5.8,23006849,,,,,,,,,,,
Leprechaun 2,4.8,2260622,,,,,,,,,,,
The Hills Have Eyes,6.1,25000000,,,,,,,,,,,
Son of the Pink Panther,3.8,2438031,,,,,,,,,,,
Resurrection,6.4,3910019,,,,,,,,,,,
Take the Lead,6.6,34742066,,,,,,,,,,,
Lucky Number Slevin,7.4,56308881,,,,,,,,,,,
Volver,7.3,85582407,,,,,,,,,,,
Akeelah and the Bee,6.7,18948425,,,,,,,,,,,
Stay Alive,5.3,27105095,,,,,,,,,,,
Basic Instinct 2,4.6,38629478,,,,,,,,,,,
Brick,6.8,3919254,,,,,,,,,,,
This Film Is Not Yet Rated,7.3,302179,,,,,,,,,,,
ATL,6,21170563,,,,,,,,,,,
Renaissance,6.7,1831348,,,,,,,,,,,
Friends with Money,5.1,13368437,,,,,,,,,,,
Scary Movie 4,5.3,178262620,,,,,,,,,,,
Hard Candy,6.8,7022209,,,,,,,,,,,
La chinoise,7.4,30857,,,,,,,,,,,
Pinocchio and the Emperor of the Night,5.3,3261638,,,,,,,,,,,
Corvette Summer,5.5,15500000,,,,,,,,,,,
The Sentinel,6.3,3,,,,,,,,,,,
The Wild,5.1,37384046,,,,,,,,,,,
Silent Hill,6.3,97607453,,,,,,,,,,,
American Dreamz,4.9,7314027,,,,,,,,,,,
Mata Hari,6.1,2227000,,,,,,,,,,,
Kinky Boots,6.3,8895428,,,,,,,,,,,
Mission: Impossible III,6.5,397850012,,,,,,,,,,,
RV,5.6,87528173,,,,,,,,,,,
United 93,6.9,76286096,,,,,,,,,,,
Down in the Valley,6,852872,,,,,,,,,,,
Over the Hedge,6.3,343397247,,,,,,,,,,,
Poseidon,5.5,181674817,,,,,,,,,,,
The Da Vinci Code,6.5,767820459,,,,,,,,,,,
X-Men: The Last Stand,6.3,459359555,,,,,,,,,,,
The Break-Up,5.6,204999686,,,,,,,,,,,
Twelve and Holding,7,95687,,,,,,,,,,,
Cars,6.6,461983149,,,,,,,,,,,
Wassup Rockers,6.4,634074,,,,,,,,,,,
The Lost City,5.9,4386236,,,,,,,,,,,
Standing Still,5.7,12762,,,,,,,,,,,
The Notorious Bettie Page,6.6,1410778,,,,,,,,,,,
The Omen,7.2,60922980,,,,,,,,,,,
Nacho Libre,5.6,80197993,,,,,,,,,,,
The Lake House,6.5,114830111,,,,,,,,,,,
Click,6,237681299,,,,,,,,,,,
The Devil Wears Prada,7,326551094,,,,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest,7,1065659812,,,,,,,,,,,
"You, Me and Dupree",5.4,130431368,,,,,,,,,,,
Clerks II,6.9,26888376,,,,,,,,,,,
Lady in the Water,5.3,42285169,,,,,,,,,,,
My Super Ex-Girlfriend,4.8,60896147,,,,,,,,,,,
Marie Antoinette,6.5,60474340,,,,,,,,,,,
Who Killed the Electric Car?,7.2,1678874,,,,,,,,,,,
An Inconvenient Truth,6.7,46243000,,,,,,,,,,,
The Fast and the Furious: Tokyo Drift,6.1,158468292,,,,,,,,,,,
Garfield: A Tail of Two Kitties,5.1,141702264,,,,,,,,,,,
Waist Deep,6.6,21353303,,,,,,,,,,,
Superman Returns,5.4,391081192,,,,,,,,,,,
Edward II,5.7,694438,,,,,,,,,,,
Little Miss Sunshine,7.5,100523181,,,,,,,,,,,
Curse of the Pink Panther,3.6,4491986,,,,,,,,,,,
Babel,6.9,135330182,,,,,,,,,,,
Prophecy,5.4,54000000,,,,,,,,,,,
Little Man,5.3,101595121,,,,,,,,,,,
Monster House,6.3,140175006,,,,,,,,,,,
Snakes on a Plane,5.1,62022014,,,,,,,,,,,
Scoop,6.4,31584901,,,,,,,,,,,
Talladega Nights: The Ballad of Ricky Bobby,6.2,162966177,,,,,,,,,,,
Night at the Museum,6.4,574480841,,,,,,,,,,,
World Trade Center,5.9,162945894,,,,,,,,,,,
Stranger Than Fiction,7.1,53653224,,,,,,,,,,,
The Valley of Decision,5.8,9132000,,,,,,,,,,,
Miami Vice,5.7,163794509,,,,,,,,,,,
The Pursuit of Happyness,7.7,307077295,,,,,,,,,,,
John Tucker Must Die,5.9,41009669,,,,,,,,,,,
The Ant Bully,5.5,55181129,,,,,,,,,,,
Michael,5.5,119718203,,,,,,,,,,,
Mrs Palfrey at The Claremont,6.8,1720953,,,,,,,,,,,
The Rainmaker,6.7,45916769,,,,,,,,,,,
Crank,6.6,42931041,,,,,,,,,,,
Black Gold,5.9,5446000,,,,,,,,,,,
The Hurricane,7.2,73956241,,,,,,,,,,,
Barnyard,5.3,72779000,,,,,,,,,,,
Fortress,5.7,6739141,,,,,,,,,,,
Step Up,6.7,114194847,,,,,,,,,,,
Zoom,4.9,12506188,,,,,,,,,,,
Bon Cop Bad Cop,6.5,12671300,,,,,,,,,,,
Half Nelson,6.5,4911725,,,,,,,,,,,
Tideland,6.3,566611,,,,,,,,,,,
Cabin in the Sky,7.1,1606624,,,,,,,,,,,
Material Girls,4.8,11449638,,,,,,,,,,,
Accepted,6.2,38505009,,,,,,,,,,,
The Illusionist,7.1,86915017,,,,,,,,,,,
The Queen,6.8,123384128,,,,,,,,,,,
Beerfest,5.8,19179969,,,,,,,,,,,
How to Eat Fried Worms,5.1,13022756,,,,,,,,,,,
Crossover,4.2,7000000,,,,,,,,,,,
The Quiet,6.1,381420,,,,,,,,,,,
The Wind That Shakes the Barley,7.1,22889018,,,,,,,,,,,
Blood on the Moon,5.8,88,,,,,,,,,,,
Hollywoodland,6.1,16803753,,,,,,,,,,,
The Covenant,5.2,37597471,,,,,,,,,,,
Sherrybaby,6.3,622806,,,,,,,,,,,
Idiocracy,6.3,495303,,,,,,,,,,,
The Fountain,6.8,15304890,,,,,,,,,,,
The Black Dahlia,5.7,49111202,,,,,,,,,,,
Everyone's Hero,5.9,16627188,,,,,,,,,,,
Gridiron Gang,6.6,41480851,,,,,,,,,,,
Lemming,6.9,793604,,,,,,,,,,,
Vixen!,5.5,6000000,,,,,,,,,,,
Apocalypto,7.3,120175290,,,,,,,,,,,
Flyboys,6.3,17800000,,,,,,,,,,,
Jackass Number Two,6.4,72778712,,,,,,,,,,,
Conversations with Other Women,6.2,973525,,,,,,,,,,,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5,261572744,,,,,,,,,,,
The Guardian,5.3,17037887,,,,,,,,,,,
The Departed,7.9,289847354,,,,,,,,,,,
Stormbreaker,5.1,23937870,,,,,,,,,,,
Running with Scissors,5.8,6754898,,,,,,,,,,,
The Grudge 2,5.3,39143839,,,,,,,,,,,
Man of the Year,3.8,209935,,,,,,,,,,,
The Marine,5,22165608,,,,,,,,,,,
Infamous,6.4,1151330,,,,,,,,,,,
One Night with the King,6.1,13391174,,,,,,,,,,,
Feast,6.1,658573,,,,,,,,,,,
Little Children,6.9,14821658,,,,,,,,,,,
Deliver Us from Evil,7.5,201275,,,,,,,,,,,
Marie Antoinette,6.5,60474340,,,,,,,,,,,
F.I.S.T.,6.5,11,,,,,,,,,,,
Facing the Giants,6.6,10178331,,,,,,,,,,,
The Last King of Scotland,7.4,48027970,,,,,,,,,,,
Shortbus,6.3,5179037,,,,,,,,,,,
Children of Men,7.4,69959751,,,,,,,,,,,
The Prestige,8,109676311,,,,,,,,,,,
Flags of Our Fathers,6.7,65900249,,,,,,,,,,,
Flicka,6.1,21000000,,,,,,,,,,,
A Guide To Recognizing Your Saints,6.8,516139,,,,,,,,,,,
13 Tzameti,6.9,767311,,,,,,,,,,,
Saw III,6.1,163876815,,,,,,,,,,,
Catch a Fire,6.4,4291965,,,,,,,,,,,
Death of a President,5.7,167000,,,,,,,,,,,
Flushed Away,6,64459316,,,,,,,,,,,
Perfume: The Story of a Murderer,7.1,132180323,,,,,,,,,,,
The Santa Clause 3: The Escape Clause,5,84500122,,,,,,,,,,,
A Good Year,6.5,42064105,,,,,,,,,,,
For Your Consideration,5.9,5542025,,,,,,,,,,,
Fuck,6.6,19791,,,,,,,,,,,
Casino Royale,5.3,41744718,,,,,,,,,,,
Happy Feet,5.9,384335608,,,,,,,,,,,
Let's Go to Prison,5.5,4630045,,,,,,,,,,,
Deck the Halls,5.1,47231070,,,,,,,,,,,
10 Items or Less,6.6,580527,,,,,,,,,,,
The Holiday,6.7,194168700,,,,,,,,,,,
Snow Cake,7.3,1381665,,,,,,,,,,,
Harsh Times,6.3,5967038,,,,,,,,,,,
Tenacious D in The Pick of Destiny,6.5,13405595,,,,,,,,,,,
Van Wilder 2: The Rise of Taj,5.1,6086508,,,,,,,,,,,
Blood Diamond,7.4,170877916,,,,,,,,,,,
Eragon,4.9,249288105,,,,,,,,,,,
Rocky Balboa,6.5,155721132,,,,,,,,,,,
Fur: An Imaginary Portrait of Diane Arbus,5.8,2281089,,,,,,,,,,,
Another Gay Movie,5.2,745327,,,,,,,,,,,
Something Wild,6.5,8362969,,,,,,,,,,,
We Are Marshall,6.7,43545364,,,,,,,,,,,
The Good Shepherd,6.3,59908565,,,,,,,,,,,
Dreamgirls,6.6,154937680,,,,,,,,,,,
Freedom Writers,7.6,41170784,,,,,,,,,,,
INLAND EMPIRE,7.1,849055,,,,,,,,,,,
The History Boys,6.6,13401952,,,,,,,,,,,
Notes on a Scandal,6.9,49469904,,,,,,,,,,,
DOA: Dead or Alive,5,480314,,,,,,,,,,,
The Good German,5.9,5914908,,,,,,,,,,,
Letters from Iwo Jima,7.2,68673228,,,,,,,,,,,
Happily N'Ever After,4.6,38085778,,,,,,,,,,,
Code Name: The Cleaner,4.7,10337477,,,,,,,,,,,
Stomp the Yard,6.1,75511123,,,,,,,,,,,
Miss Potter,6.3,35078241,,,,,,,,,,,
Primeval,4.7,10597734,,,,,,,,,,,
Alpha Dog,6.6,15309302,,,,,,,,,,,
The Hitcher,6.9,5844868,,,,,,,,,,,
Bridge to Terabithia,7,137587063,,,,,,,,,,,
Killer of Sheep,6.5,362222,,,,,,,,,,,
Kenny,6.1,7778177,,,,,,,,,,,
49 Up,6.9,238073,,,,,,,,,,,
Waitress,6.6,22179430,,,,,,,,,,,
Catch and Release,5.8,16158487,,,,,,,,,,,
Smokin' Aces,6.4,57103895,,,,,,,,,,,
Epic Movie,3.2,86865564,,,,,,,,,,,
The Messengers,5.6,1109660,,,,,,,,,,,
Because I Said So,5.8,69485490,,,,,,,,,,,
Hannibal Rising,6,82169884,,,,,,,,,,,
Norbit,5,95673607,,,,,,,,,,,
Cocaine Cowboys,7.5,163000,,,,,,,,,,,
Ratatouille,7.5,623722818,,,,,,,,,,,
"Paris, je t'aime",6.7,4857367,,,,,,,,,,,
The Astronaut Farmer,6.2,11130889,,,,,,,,,,,
It's a Boy Girl Thing,6.3,7385434,,,,,,,,,,,
Myra Breckinridge,4.8,3000000,,,,,,,,,,,
Unknown,6.4,3338228,,,,,,,,,,,
Trailer Park Boys: The Movie,6.8,3833507,,,,,,,,,,,
Ghost Rider,5.2,228738393,,,,,,,,,,,
Breach,6.5,33231264,,,,,,,,,,,
Daddy's Little Girls,6.6,31609243,,,,,,,,,,,
Music and Lyrics,6.2,145896422,,,,,,,,,,,
The Number 23,6.3,77566815,,,,,,,,,,,
Reno 911!: Miami,5.6,20342161,,,,,,,,,,,
Black Snake Moan,6.6,10903846,,,,,,,,,,,
Kidulthood,6.2,165000,,,,,,,,,,,
Hot Fuzz,7.4,80573774,,,,,,,,,,,
Mad Love,5.5,15453274,,,,,,,,,,,
Next,5.9,76066841,,,,,,,,,,,
Breaking and Entering,6.3,8974829,,,,,,,,,,,
Iraq in Fragments,6.8,202000,,,,,,,,,,,
Romanzo criminale,7.3,4851244,,,,,,,,,,,
Wise Guys,6.1,8475466,,,,,,,,,,,
Zodiac,7.3,84785914,,,,,,,,,,,
Wild Hogs,5.7,253625427,,,,,,,,,,,
Zyzzyx Road,4,30,,,,,,,,,,,
300,7,422610419,,,,,,,,,,,
Starter for 10,6.7,21,,,,,,,,,,,
The Last Mimzy,5.9,27297451,,,,,,,,,,,
Diary of a Hitman,3.5,31815,,,,,,,,,,,
Becoming Jane,6.9,37311672,,,,,,,,,,,
Right at Your Door,5.8,2043704,,,,,,,,,,,
The Namesake,6.8,20138836,,,,,,,,,,,
I Think I Love My Wife,5,13196245,,,,,,,,,,,
Premonition,5.8,84146832,,,,,,,,,,,
Dead Silence,6.2,22217407,,,,,,,,,,,
Reign Over Me,7.1,22222308,,,,,,,,,,,
Shooter,6.9,95696996,,,,,,,,,,,
TMNT,6,95608995,,,,,,,,,,,
The Lookout,6.6,5367030,,,,,,,,,,,
The Reaping,5.4,62771059,,,,,,,,,,,
Meet the Robinsons,6.7,169332978,,,,,,,,,,,
Seraphim Falls,6.4,1196307,,,,,,,,,,,
The Hoax,6.4,11772461,,,,,,,,,,,
No Way Out,6.9,35509515,,,,,,,,,,,
Goya's Ghosts,6.6,9448082,,,,,,,,,,,
Perfect Stranger,5.4,73090611,,,,,,,,,,,
Disturbia,6.6,117760134,,,,,,,,,,,
Puccini for Beginners,6.1,89417,,,,,,,,,,,
Slow Burn,5.5,1237615,,,,,,,,,,,
The Contract,5.5,5549200,,,,,,,,,,,
Fracture,7.1,91354215,,,,,,,,,,,
Vacancy,6,35300645,,,,,,,,,,,
In the Land of Women,5.8,17500000,,,,,,,,,,,
Mr. Bean's Holiday,6.1,229736344,,,,,,,,,,,
The Grace Lee Project,0,5965,,,,,,,,,,,
The Invisible,6,26810113,,,,,,,,,,,
The Condemned,5.8,8642858,,,,,,,,,,,
Spider-Man 3,5.9,890871626,,,,,,,,,,,
Lucky You,5.4,5761917,,,,,,,,,,,
The Ex,5,3091922,,,,,,,,,,,
Red Road,6.3,1128345,,,,,,,,,,,
This Is England,7.4,8176544,,,,,,,,,,,
Knocked Up,6.2,219076518,,,,,,,,,,,
28 Weeks Later,6.5,64238440,,,,,,,,,,,
Shrek the Third,6,798958165,,,,,,,,,,,
Once,7.4,20710513,,,,,,,,,,,
Pirates of the Caribbean: At World's End,6.9,961000000,,,,,,,,,,,
Mr. Brooks,6.8,41637263,,,,,,,,,,,
Gracie,6,2955039,,,,,,,,,,,
88 Minutes,5.7,16930884,,,,,,,,,,,
The Breed,5,1675484,,,,,,,,,,,
Cashback,6.8,2294291,,,,,,,,,,,
Ocean's Thirteen,6.5,311312624,,,,,,,,,,,
Ten Canoes,6.7,300000,,,,,,,,,,,
GO,7,28451622,,,,,,,,,,,
Alone With Her,6.2,10018,,,,,,,,,,,
Hostel: Part II,5.6,35619521,,,,,,,,,,,
Paranoid Park,6.3,486021,,,,,,,,,,,
Surf's Up,5.9,149044513,,,,,,,,,,,
Fido,6.6,426224,,,,,,,,,,,
Death Proof,6.7,25037897,,,,,,,,,,,
Robot Monster,3.5,1000000,,,,,,,,,,,
Rescue Dawn,6.9,7177143,,,,,,,,,,,
The TV Set,6,265198,,,,,,,,,,,
Alice in Wonderland,7,572000000,,,,,,,,,,,
Swoon,5.9,340147,,,,,,,,,,,
Alan & Naomi,4.3,259,,,,,,,,,,,
Still Smokin,5.4,15543000,,,,,,,,,,,
Sicko,7.3,24538513,,,,,,,,,,,
A Mighty Heart,6.7,18928871,,,,,,,,,,,
1408,6.5,94679598,,,,,,,,,,,
Death at a Funeral,6.9,46,,,,,,,,,,,
High Road to China,5.7,28400000,,,,,,,,,,,
Live Free or Die Hard,6.4,383531464,,,,,,,,,,,
License to Wed,5.3,69307224,,,,,,,,,,,
Evan Almighty,5.3,173000000,,,,,,,,,,,
Transformers,6.6,709709780,,,,,,,,,,,
Captivity,4.4,2626800,,,,,,,,,,,
Harry Potter and the Order of the Phoenix,7.4,938212738,,,,,,,,,,,
I Now Pronounce You Chuck & Larry,5.8,186072214,,,,,,,,,,,
The Mean Season,5.8,4300000,,,,,,,,,,,
First Snow,6.3,382267,,,,,,,,,,,
Broken Arrow,5.7,150270147,,,,,,,,,,,
Manufactured Landscapes,7.3,240239,,,,,,,,,,,
When the Wind Blows,7.4,5274,,,,,,,,,,,
The Piano Tuner of Earthquakes,6.1,27953,,,,,,,,,,,
Hot Rod,6.3,14334401,,,,,,,,,,,
Stardust,7.2,135560026,,,,,,,,,,,
The Simpsons Movie,6.9,527068851,,,,,,,,,,,
I Know Who Killed Me,4,9620399,,,,,,,,,,,
No Reservations,6.1,92601050,,,,,,,,,,,
The Bourne Ultimatum,7.3,442824138,,,,,,,,,,,
You Kill Me,6.2,2426851,,,,,,,,,,,
Superbad,7,121463226,,,,,,,,,,,
Joshua,7.8,1347988,,,,,,,,,,,
Talk to Me,7.1,4778376,,,,,,,,,,,
The War Tapes,7.3,254190,,,,,,,,,,,
Rush Hour 3,6.1,258022233,,,,,,,,,,,
The Last Legion,5,25303038,,,,,,,,,,,
Balls of Fury,5,41098065,,,,,,,,,,,
Sydney White,6,13620075,,,,,,,,,,,
Daddy Day Camp,4.4,18197398,,,,,,,,,,,
The Invasion,5.7,15071514,,,,,,,,,,,
War,6,40452643,,,,,,,,,,,
Illegal Tender,7.6,3106835,,,,,,,,,,,
The Nanny Diaries,6.1,47738099,,,,,,,,,,,
Halloween,7.4,70000000,,,,,,,,,,,
Death Sentence,6.4,16974459,,,,,,,,,,,
2 Days in Paris,6.3,19776159,,,,,,,,,,,
Behind the Mask: The Rise of Leslie Vernon,6.6,69136,,,,,,,,,,,
The Good Night,5.7,20380,,,,,,,,,,,
Shoot 'Em Up,6.3,26820641,,,,,,,,,,,
Atonement,7.4,129266061,,,,,,,,,,,
No End in Sight,7.3,1431623,,,,,,,,,,,
The Brave One,6.4,69766619,,,,,,,,,,,
In the Valley of Elah,6.6,29541790,,,,,,,,,,,
Rang De Basanti,7.2,11502151,,,,,,,,,,,
I Could Never Be Your Woman,5.7,9576495,,,,,,,,,,,
December Boys,6.2,46474,,,,,,,,,,,
Eastern Promises,7.2,55112356,,,,,,,,,,,
Brooklyn Rules,5.8,458232,,,,,,,,,,,
The Death and Life of Bobby Z,5.8,413454,,,,,,,,,,,
Resident Evil: Extinction,6.1,148412065,,,,,,,,,,,
Good Luck Chuck,5.6,59192128,,,,,,,,,,,
Into the Wild,7.8,56255142,,,,,,,,,,,
The Game Plan,6,147880543,,,,,,,,,,,
Feast of Love,5.9,5741608,,,,,,,,,,,
Dan in Real Life,6.5,68377859,,,,,,,,,,,
The Darjeeling Limited,7.1,24377151,,,,,,,,,,,
We Own the Night,6.5,54926886,,,,,,,,,,,
Elizabeth: The Golden Age,6.6,74237563,,,,,,,,,,,
Michael Clayton,6.6,92991835,,,,,,,,,,,
Lars and the Real Girl,7.1,11293663,,,,,,,,,,,
30 Days of Night,6.2,75505973,,,,,,,,,,,
Rendition,6.2,24748670,,,,,,,,,,,
Things We Lost in the Fire,6.7,2849142,,,,,,,,,,,
Gone Baby Gone,7.2,34619699,,,,,,,,,,,
The Assassination of Jesse James by the Coward Robert Ford,7,14711793,,,,,,,,,,,
10th & Wolf,6.3,143451,,,,,,,,,,,
Black Sheep,6,32,,,,,,,,,,,
Why Did I Get Married?,6.1,55184721,,,,,,,,,,,
Saw IV,5.9,139352633,,,,,,,,,,,
For the Bible Tells Me So,6.9,312751,,,,,,,,,,,
King of California,6.5,1027699,,,,,,,,,,,
American Gangster,7.4,266465037,,,,,,,,,,,
Bee Movie,5.7,287594577,,,,,,,,,,,
Before the Devil Knows You're Dead,6.9,25005257,,,,,,,,,,,
No Country for Old Men,7.7,171600000,,,,,,,,,,,
Itty Bitty Titty Committee,6,18479,,,,,,,,,,,
The Fugitive,7.2,368875760,,,,,,,,,,,
August Rush,7.2,66122026,,,,,,,,,,,
Lions for Lambs,6,63215872,,,,,,,,,,,
Fred Claus,5.5,97838349,,,,,,,,,,,
Beowulf,4.4,1531251,,,,,,,,,,,
Mr. Magorium's Wonder Emporium,6,69474661,,,,,,,,,,,
Love in the Time of Cholera,6.5,4607608,,,,,,,,,,,
Southland Tales,5.2,374743,,,,,,,,,,,
Rails & Ties,5.5,22136,,,,,,,,,,,
Smiley Face,6.3,8768,,,,,,,,,,,
12,6.6,7537453,,,,,,,,,,,
The Mist,6.7,57096190,,,,,,,,,,,
Enchanted,6.6,340487652,,,,,,,,,,,
Hitman,5.9,99965753,,,,,,,,,,,
P2,5.7,7766240,,,,,,,,,,,
Om Shanti Om,7.2,37707444,,,,,,,,,,,
Awake,6.3,14373825,,,,,,,,,,,
The Golden Compass,5.8,372234864,,,,,,,,,,,
I Am Legend,6.9,585349010,,,,,,,,,,,
Alvin and the Chipmunks,5.5,361366633,,,,,,,,,,,
I'm Not There.,6.6,4001121,,,,,,,,,,,
Juno,7,231411584,,,,,,,,,,,
My Blueberry Nights,6.1,21786738,,,,,,,,,,,
Party Monster,5.9,742898,,,,,,,,,,,
Redacted,6.2,782102,,,,,,,,,,,
The Treatment,6,82701,,,,,,,,,,,
The Bucket List,7,175372502,,,,,,,,,,,
The Kite Runner,7.3,73276047,,,,,,,,,,,
Robin Hood,7,32056467,,,,,,,,,,,
Close My Eyes,6.3,135893,,,,,,,,,,,
Sweeney Todd: The Demon Barber of Fleet Street,7,152000000,,,,,,,,,,,
National Treasure: Book of Secrets,6.1,457363168,,,,,,,,,,,
There Will Be Blood,7.9,77208711,,,,,,,,,,,
Charlie Wilson's War,6.5,119000410,,,,,,,,,,,
Aliens vs Predator: Requiem,4.9,41797066,,,,,,,,,,,
Walk Hard: The Dewey Cox Story,6.6,18317151,,,,,,,,,,,
The Great Debaters,6.9,30226144,,,,,,,,,,,
The Water Horse,6.3,103071443,,,,,,,,,,,
P.S. I Love You,7,156835339,,,,,,,,,,,
The Perfect Holiday,5.7,5800000,,,,,,,,,,,
27 Dresses,6.1,160259319,,,,,,,,,,,
The Mostly Unfabulous Social Life of Ethan Green,5.3,152810,,,,,,,,,,,
Taare Zameen Par,7.7,28430000,,,,,,,,,,,
[REC],7.1,30448000,,,,,,,,,,,
Flawless,5.9,4488529,,,,,,,,,,,
Cloverfield,6.4,170764026,,,,,,,,,,,
Che?,7.2,45967935,,,,,,,,,,,
First Sunday,5.3,38804615,,,,,,,,,,,
Untraceable,5.9,32483410,,,,,,,,,,,
Rambo,6.4,113244290,,,,,,,,,,,
Meet the Spartans,3.8,84646831,,,,,,,,,,,
Strange Wilderness,4.7,6575282,,,,,,,,,,,
The Signal,5.9,249905,,,,,,,,,,,
Hellboy II: The Golden Army,6.5,160388063,,,,,,,,,,,
In Bruges,7.4,34533783,,,,,,,,,,,
Bamako,6.4,111000,,,,,,,,,,,
The Count of Monte Cristo,7.3,75395048,,,,,,,,,,,
Dark Angel,5.5,9229401,,,,,,,,,,,
Welcome Home Roscoe Jenkins,5.7,43650785,,,,,,,,,,,
Fool's Gold,5.4,111231041,,,,,,,,,,,
U2 3D,6.7,22730842,,,,,,,,,,,
Jumper,5.9,222231186,,,,,,,,,,,
"Definitely, Maybe",6.7,55447968,,,,,,,,,,,
Vantage Point,6.3,151161491,,,,,,,,,,,
The Spiderwick Chronicles,6.3,162839667,,,,,,,,,,,
Step Up 2: The Streets,6.5,150816700,,,,,,,,,,,
Jodhaa Akbar,7.6,13000000,,,,,,,,,,,
Semi-Pro,5.4,33472850,,,,,,,,,,,
Taxi to the Dark Side,6.6,274661,,,,,,,,,,,
College Road Trip,5,68397662,,,,,,,,,,,
"10,000 BC",5.1,266000000,,,,,,,,,,,
The Bank Job,6.6,64822796,,,,,,,,,,,
Doomsday,5.8,22211426,,,,,,,,,,,
Horton Hears a Who!,6.3,297138014,,,,,,,,,,,
The Love Guru,4.3,41819064,,,,,,,,,,,
Diary of the Dead,5.4,5364858,,,,,,,,,,,
Hallam Foe,6.8,60641,,,,,,,,,,,
Justice League: The New Frontier,6.6,5231128,,,,,,,,,,,
What Just Happened,5.2,6673422,,,,,,,,,,,
Return of the Living Dead 3,5.9,54207,,,,,,,,,,,
Miss Pettigrew Lives for a Day,6.8,16051363,,,,,,,,,,,
Snow Angels,6.3,414404,,,,,,,,,,,
The Dark Knight,8.3,1004558444,,,,,,,,,,,
Quiet City,6.6,15425,,,,,,,,,,,
Never Back Down,6.5,41627431,,,,,,,,,,,
Slipstream,5.5,27769,,,,,,,,,,,
Alatriste,5.6,23321954,,,,,,,,,,,
Joysticks,5.2,3952448,,,,,,,,,,,
21,6.5,69823199,,,,,,,,,,,
Smart People,5.8,10569964,,,,,,,,,,,
Leatherheads,5.7,41299492,,,,,,,,,,,
Pirates,6.2,1641825,,,,,,,,,,,
Stop-Loss,6.1,11207130,,,,,,,,,,,
Nim's Island,5.6,100076342,,,,,,,,,,,
Forgetting Sarah Marshall,6.4,105173115,,,,,,,,,,,
Superhero Movie,4.9,25871834,,,,,,,,,,,
Street Kings,6.3,65569869,,,,,,,,,,,
The Visitor,6.9,9234510,,,,,,,,,,,
Harold & Kumar Escape from Guantanamo Bay,6.2,43493123,,,,,,,,,,,
Speed Racer,5.7,93945766,,,,,,,,,,,
The Forbidden Kingdom,6.3,127906624,,,,,,,,,,,
Virgin Territory,4.3,5410749,,,,,,,,,,,
Happy-Go-Lucky,6.4,18130888,,,,,,,,,,,
Son of Rambow,6.7,6870249,,,,,,,,,,,
Baby Mama,5.8,63833449,,,,,,,,,,,
Delirious,5.5,5546827,,,,,,,,,,,
Expelled: No Intelligence Allowed,4.1,7700000,,,,,,,,,,,
Prom Night,6,14796236,,,,,,,,,,,
Iron Man,7.4,585174222,,,,,,,,,,,
Made of Honor,6,84601681,,,,,,,,,,,
"The Bread, My Sweet",5,1023156,,,,,,,,,,,
Taken,7.2,226830568,,,,,,,,,,,
The Fall,7.7,3669465,,,,,,,,,,,
Stargate: The Ark of Truth,6.9,8900000,,,,,,,,,,,
Blind Dating,6,834457,,,,,,,,,,,
Meet Bill,5.9,346592,,,,,,,,,,,
What Happens in Vegas,5.8,170000000,,,,,,,,,,,
The Chronicles of Narnia: Prince Caspian,6.3,419651413,,,,,,,,,,,
"War, Inc.",5.6,1296184,,,,,,,,,,,
The Girl Next Door,6.3,30411183,,,,,,,,,,,
King Corn,6.8,81368,,,,,,,,,,,
Indiana Jones and the Kingdom of the Crystal Skull,5.7,786636033,,,,,,,,,,,
The Quiet American,6.5,27674124,,,,,,,,,,,
Lake of Fire,8.1,25,,,,,,,,,,,
Sex and the City,6,415252786,,,,,,,,,,,
The Strangers,6,82391145,,,,,,,,,,,
Bigger Stronger Faster*,7,307811,,,,,,,,,,,
Kung Fu Panda,6.9,631744560,,,,,,,,,,,
The Andromeda Strain,7,12376563,,,,,,,,,,,
You Don't Mess with the Zohan,5.5,201596308,,,,,,,,,,,
The Protector,6.8,27165581,,,,,,,,,,,
The Three Musketeers,6.2,53898845,,,,,,,,,,,
Chaos Theory,6.2,240476,,,,,,,,,,,
Boy A,7.1,1200398,,,,,,,,,,,
Doctor Who,6,42000000,,,,,,,,,,,
The Happening,4.9,163403799,,,,,,,,,,,
The Incredible Hulk,6.1,163712074,,,,,,,,,,,
WALL·E,7.8,521311860,,,,,,,,,,,
